wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�;w1_zaszczepieni_w_wieku_0_11;w1_zaszczepieni_w_wieku_12_19;w1_zaszczepieni_w_wieku_20_39;w1_zaszczepieni_w_wieku_40_59;w1_zaszczepieni_w_wieku_60_69;w1_zaszczepieni_w_wieku_70plus;w3_zaszczepieni_pe�n�_dawk�_w_wieku_0_11;w3_zaszczepieni_pe�n�_dawk�_w_wieku_12_19;w3_zaszczepieni_pe�n�_dawk�_w_wieku_20_39;w3_zaszczepieni_pe�n�_dawk�_w_wieku_40_59;w3_zaszczepieni_pe�n�_dawk�_w_wieku_60_69;w3_zaszczepieni_pe�n�_dawk�_w_wieku_70plus
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13865;13507;72,6639;70,7877;0;965;4366;4386;2184;1964;0;904;4207;4307;2160;1929
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2631;2557;72,7398;70,6939;0;146;733;907;451;394;0;136;709;882;446;384
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2754;2676;72,4546;70,4025;0;240;599;871;474;570;0;230;580;849;466;551
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15844;15405;72,1132;70,1152;0;1172;4627;5547;2276;2222;0;1110;4470;5410;2237;2178
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1272863;1240549;70,9446;69,1435;12;81211;402511;387724;179016;222389;5;76658;391406;379768;175428;217284
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;374039;364772;70,3017;68,56;3;22628;119505;106750;56278;68875;3;21486;116055;104524;55188;67516
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;439261;428216;68,4284;66,7078;9;22952;150515;122167;65041;78577;8;21722;146239;119469;63736;77042
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12521;12202;68,1935;66,4561;0;1138;3082;4366;2027;1908;0;1064;3000;4283;1985;1870
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16728;16249;67,942;65,9965;0;1362;3801;5699;2902;2964;0;1301;3670;5577;2835;2866
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;58023;56512;67,2988;65,5462;0;5380;16271;21537;7506;7329;0;5115;15763;21090;7361;7183
